cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type,cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,gal_contam,mp_flg,j_h,h_k,j_k,GroupID,GroupSize,Separation
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.2,2.0,4.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,1.855579810985649
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,4.0,30.43032733137873,-2.1965936799523202,3.496041255821966E-5,6.75549965741401E-4,158.0,163.0,3.000000051249713,3.003935006292579E-5,0.0039786809209112995,1.1206585075002985E-5,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632E-5,6842543.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,11,2.178757121186185
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.2,2.0,5.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,1.855579810985649
ACT-CLJ0201.6-0211,all,0,159.0,164.0,3.2,2.0,5.0,30.43032733137873,-2.1965936799523202,3.496041255821966E-5,6.75549965741401E-4,158.0,163.0,3.000000051249713,3.003935006292579E-5,0.0039786809209112995,1.1206585075002985E-5,9.286065101623535,0.42794198059180477,6.961557388305664,0.0,8.953602809924632E-5,6842543.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,11,2.178757121186185
ACT-CLJ0201.6-0211,all,0,131.0,160.0,5.120000000000001,2.0,6.0,30.445894351117953,-2.198815803776432,3.012093969103865E-4,0.0010373553671572584,130.0,159.0,2.9999976967457247,4.5722638252249724E-5,0.0060706268373528485,1.1559848478071205E-5,9.286065101623535,0.7469419385914569,8.567449569702148,0.0,9.43725899560377E-5,6105826.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,3.1087975924615563
ACT-CLJ0201.6-0211,all,0,160.0,162.0,5.120000000000001,2.0,6.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,11,3.775736039341766
ACT-CLJ0201.6-0211,all,0,131.0,160.0,5.120000000000001,2.0,7.0,30.445894351117953,-2.198815803776432,3.012093969103865E-4,0.0010373553671572584,130.0,159.0,2.9999976967457247,4.5722638252249724E-5,0.0060706268373528485,1.1559848478071205E-5,9.286065101623535,0.7469419385914569,8.567449569702148,0.0,9.43725899560377E-5,6105826.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,3.1087975924615563
ACT-CLJ0201.6-0211,all,0,160.0,162.0,5.120000000000001,2.0,7.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,11,3.775736039341766
ACT-CLJ0201.6-0211,all,0,132.0,160.0,3.0,3.0,4.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,1.855579810985649
ACT-CLJ0201.6-0211,all,0,132.0,160.0,4.800000000000001,3.0,5.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,1.855579810985649
ACT-CLJ0201.6-0211,all,0,160.0,162.0,4.800000000000001,3.0,5.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,11,3.775736039341766
ACT-CLJ0201.6-0211,all,0,132.0,160.0,4.800000000000001,3.0,6.0,30.445338386246096,-2.1988158100847235,2.915339090566248E-4,9.473144432234347E-4,131.0,159.0,2.9999972697390733,4.797607116517605E-5,0.006141736743510923,1.1588406339002608E-5,9.286065101623535,0.6630299215908693,9.286065101623535,0.0,9.388342732563615E-5,6424196.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,72.269474,77.639995,30.42556,-2.202621222,30.445184,-2.198324,0.12,0.08,1,02014684-0211539,15.821,0.078,0.079,21.6,14.952,0.089,0.089,22.0,14.378,0.078,0.078,17.8,AAA,222,111,000,666656,0,0,0.869,0.574,1.443,1,14,1.855579810985649
ACT-CLJ0201.6-0211,all,0,160.0,162.0,4.800000000000001,3.0,6.0,30.429771368113496,-2.1977047916065393,1.9392547711478663E-5,6.604071668355374E-4,159.0,161.0,3.000000959653069,1.9020621122368112E-5,0.002895158392056473,1.1173704609472805E-5,9.286065101623535,0.415897613160759,6.390590190887451,0.0,8.913020428735763E-5,6821979.0,ACT-CLJ0201.6-0211,1.697955213137E-4,1.512637206269995,0.3771515107547089,0.0,16234.224718139953,-9.28491718169E-4,-0.0653730414423692,435.6657618947,21.0,2,26.182079,34.908041,30.42556,-2.202621222,30.429725,-2.196657,0.19,0.18,39,02014313-0211479,16.412,0.166,0.166,12.5,15.641,0.168,0.168,11.7,14.977,0.151,0.151,10.2,CCB,222,111,000,565656,0,0,0.771,0.664,1.435,2,11,3.775736039341766
