cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,RA,DEC,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,4.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,5.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,6.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,7.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,3.0,4.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,3.0,5.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,3.0,6.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,3.0,7.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,4.0,4.0,5.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,4.0,4.0,6.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0024357344955205917,258.0,170.0,3.0,0.0025451712855850133,4.9215890659664,257.8640932327718,170.4524032079455,0.3681637497366422,5.316007137298584,0.0,3.161290951538831E-4,482333.875,0,ACT-CLJ0200.3+0019,1.339813306553E-4,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
